PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,H1,H1 length,No. of H1,Is indexable page
1,https://utahwatergardens.com/plant/chromatella-yellow-water-lily,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Chromatella Yellow Water Lily
Chromatella Yellow Water Lily","29
29",2,false
1,https://utahwatergardens.com/plant/umbrella-palm,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Umbrella Palm
Umbrella Palm","13
13",2,false
1,https://utahwatergardens.com/plant/pickerel-rush,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Pickerel Rush
Pickerel Rush","13
13",2,false
1,https://utahwatergardens.com/plant/marsh-marigold,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Marsh Marigold
Marsh Marigold","14
14",2,false
1,https://utahwatergardens.com/plant/water-lettuce,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Water Lettuce
Water Lettuce","13
13",2,false
1,https://utahwatergardens.com/plant/sunset-changeable-water-lily,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Sunset Changeable Water Lily
Sunset Changeable Water Lily","28
28",2,false
1,https://utahwatergardens.com/plant/chinese-arrowhead,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Chinese Arrowhead
Chinese Arrowhead","17
17",2,false
1,https://utahwatergardens.com/plant/white-water-lily,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"White Water Lily
White Water Lily","16
16",2,false
1,https://utahwatergardens.com/plant/golden-spike-rush,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Golden Spike Rush
Golden Spike Rush","17
17",2,false
1,https://utahwatergardens.com/plant/water-hyacinth,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Water Hyacinth
Water Hyacinth","14
14",2,false
1,https://utahwatergardens.com/plant/pink-water-lily,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Pink Water Lily
Pink Water Lily","15
15",2,false
0,https://utahwatergardens.com/plant/yerba-mansa,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Yerba Mansa
Yerba Mansa","11
11",2,false
0,https://utahwatergardens.com/plant/duckweed,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Duckweed
Duckweed","8
8",2,false
0,https://utahwatergardens.com/plant/red-amaranth,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Red Amaranth
Red Amaranth","12
12",2,false
0,https://utahwatergardens.com/plant/calla-lily,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Calla Lily
Calla Lily","10
10",2,false
0,https://utahwatergardens.com/plant/equisetum,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Equisetum (Horsetail)
Equisetum (Horsetail)","21
21",2,false
0,https://utahwatergardens.com/plant/azolla,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Azolla (Fairy Moss)
Azolla (Fairy Moss)","19
19",2,false
0,https://utahwatergardens.com/plant/red-mimulus,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Red Mimulus
Red Mimulus","11
11",2,false
0,https://utahwatergardens.com/plant/slenderleaf-dragonhead,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Slenderleaf Dragonhead
Slenderleaf Dragonhead","22
22",2,false
0,https://utahwatergardens.com/plant/sensitive-plant,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Sensitive Plant
Sensitive Plant","15
15",2,false
0,https://utahwatergardens.com/plant/utah-water-clover,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Utah Water Clover
Utah Water Clover","17
17",2,false
0,https://utahwatergardens.com/plant/blue-flower,Aquatic Plant Details | Plant Care Guide | Utah Water Gardens | Utah Water Gardens,text/html; charset=utf-8,true,200,0,1,"Blue Flower
Blue Flower","11
11",2,false
